Usage_ID,Account,TS,Service,SKU,Usage,Unit,Cost,Region,Ticket_ID
U7000,ACCT-010,2026/03/15 14:00,Networking,LoadBalancer,"""14,455""",sec,"""₹ 1,445.5""",us-east 1,NULL
U7001,acct-009,2026-03-11 02:00:00+00:00,Compute,VM-STD-4,15590,sec,1559.0,ap-south 1,NULL
U7002, acct-011 ,2026/03/16 03:00,Networking,VPN-Gateway,"""1,015""",GB,"""₹ 101.5""",us-east 1,NULL
U7003,ACCT-012,2026/03/30 19:00,SaaS,Email-API,9165,GB,916.5,us-east-1,NULL
U7003,ACCT-012,2026/03/30 19:00,SaaS,EMAIL-API,9165,seconds,916.5,us-east-1,NULL
U7004,ACCT-012,2026-03-19 03:00:00+00:00,Storage,Cold-Archive,"""3,491""",seconds,349.1,us-east 1,T-360
U7005,ACCT-012,2026-03-13 03:00:00+00:00,SaaS,Monitoring-App,"""19,586""",sec,1958.6,eu-west-1,NULL
U7006,ACCT-012,2026-03-18 08:00:00+00:00,Compute,VM-STD-4,"""17,090""",units,1709.0,global,NULL
U7007,Acct-013,2026/03/24 25:05,Compute,VM-STD-4,16402,sec,1640.2,global,NULL
U7008,ACCT-010,2026-03-15 16:00:00+00:00,Database,NoSQL-Tbl,"""2,090""",hrs,209.0,ap-south-1,T-125
U7009, acct-011 ,2026-03-17 17:00:00+00:00,Database,RDS-MultiAZ,11404,seconds,1140.4,ap-south-1,T-263
U7010,acct-009,2026-03-20 19:00:00+00:00,Networking,DataTransfer,505,min,"""₹ 50.5""",global,T-950
U7011,ACCT-010,2026/03/15 04:00,Networking,VPN-Gateway,1224,units,122.4,global,T-229
U7012,ACCT-012,2026/03/10 04:00,Networking,VPN-Gateway,"""11,116""",GB,1111.6,eu-west-1,NULL
U7013,acct-009,2026-03-19 18:00:00+00:00,SaaS,Auth-Service,18402,sec,1840.2,eu-west-1,NULL
U7014,Acct-013,2026/03/17 00:00,Database,RDS-MultiAZ,2270,min,227.0,us-east 1,NULL
U7015,Acct-013,2026/03/25 15:00,Networking,DataTransfer,9056,units,905.6,global,NULL
U7016, acct-011 ,2026-03-10 18:00:00+00:00,Networking,DataTransfer,10798,hrs,1079.8,ap-south-1,NULL
U7017,ACCT-010,2026/03/29 11:00,Database,RDS-MultiAZ,"""1,093""",min,109.3,eu-west-1,NULL
U7018,Acct-013,2026-03-21 10:00:00+00:00,Compute,compute-v2,13351,sec,1335.1,global,NULL
U7019,Acct-013,2026/03/12 20:00,Networking,VPN-Gateway,15207,GB,1520.7,us-east-1,T-530
U7020,Acct-013,2026/03/10 14:00,Database,NoSQL-Tbl,8619,seconds,"""₹ 861.9""",ap-south-1,NULL
U7020,ACCT-013,2026/03/10 14:00,Database,NOSQL-TBL,8619,seconds,861.9,ap-south-1,NULL
