USAGE_ID,ACCOUNT,DEPARTMENT,TS_SYNCHRONIZED,SERVICE,SKU,USAGE_SECONDS,COST_USD,REGION_CLEAN,SLA_STATUS,TICKET_ID
U7000,ACCT-010,Engineering,2026-03-15 14:00:00+00:00,Networking,LOADBALANCER,14455.0,,us-east-1,SLA_BREACH_ZONE,INTERNAL
U7001,ACCT-009,Data Science,2026-03-15 14:00:00+00:00,Compute,VM-STD-4,15590.0,1559.0,ap-south-1,NORMAL_OPERATIONS,INTERNAL
U7002,ACCT-011,Marketing,2026-03-16 03:00:00+00:00,Networking,VPN-GATEWAY,1015.0,,us-east-1,NORMAL_OPERATIONS,INTERNAL
U7003,ACCT-012,Product,2026-03-30 19:00:00+00:00,Saas,EMAIL-API,9165.0,916.5,us-east-1,NORMAL_OPERATIONS,INTERNAL
U7004,ACCT-012,Product,2026-03-30 19:00:00+00:00,Storage,COLD-ARCHIVE,3491.0,349.1,us-east-1,NORMAL_OPERATIONS,T-XXX
U7005,ACCT-012,Product,2026-03-30 19:00:00+00:00,Saas,MONITORING-APP,19586.0,1958.6,eu-west-1,NORMAL_OPERATIONS,INTERNAL
U7006,ACCT-012,Product,2026-03-30 19:00:00+00:00,Compute,VM-STD-4,17090.0,1709.0,global,NORMAL_OPERATIONS,INTERNAL
U7007,ACCT-013,UNASSIGNED,2026-03-30 19:00:00+00:00,Compute,VM-STD-4,16402.0,1640.2,global,NORMAL_OPERATIONS,INTERNAL
U7008,ACCT-010,Engineering,2026-03-30 18:55:00+00:00,Database,NOSQL-TBL,7524000.0,209.0,ap-south-1,NORMAL_OPERATIONS,T-XXX
U7009,ACCT-011,Marketing,2026-03-30 18:55:00+00:00,Database,RDS-MULTIAZ,11404.0,1140.4,ap-south-1,NORMAL_OPERATIONS,T-XXX
U7010,ACCT-009,Data Science,2026-03-30 19:00:00+00:00,Networking,DATATRANSFER,30300.0,,global,NORMAL_OPERATIONS,T-XXX
U7011,ACCT-010,Engineering,2026-03-15 04:00:00+00:00,Networking,VPN-GATEWAY,1224.0,122.4,global,NORMAL_OPERATIONS,T-XXX
U7012,ACCT-012,Product,2026-03-10 04:00:00+00:00,Networking,VPN-GATEWAY,11116.0,1111.6,eu-west-1,NORMAL_OPERATIONS,INTERNAL
U7013,ACCT-009,Data Science,2026-03-10 04:00:00+00:00,Saas,AUTH-SERVICE,18402.0,1840.2,eu-west-1,NORMAL_OPERATIONS,INTERNAL
U7014,ACCT-013,UNASSIGNED,2026-03-17 00:00:00+00:00,Database,RDS-MULTIAZ,136200.0,227.0,us-east-1,NORMAL_OPERATIONS,INTERNAL
U7015,ACCT-013,UNASSIGNED,2026-03-25 15:00:00+00:00,Networking,DATATRANSFER,9056.0,905.6,global,NORMAL_OPERATIONS,INTERNAL
U7016,ACCT-011,Marketing,2026-03-25 14:55:00+00:00,Networking,DATATRANSFER,38872800.0,1079.8,ap-south-1,NORMAL_OPERATIONS,INTERNAL
